	version	folds	img_size	resize	batch_size	epochs	patience	decay	backbone	bce_weight	loss	seed	bavg_epoch	bavg_loss	bavg_dice_coef	split	mirror	aughard	umodel	pseudo	comments	lr	dice_by_folds	shift	external	downsample
34	v33	4	256	4	16	1000	20	False	efficientnetb3	0.5	bce_dice	2020	40.0	0.07002203539013863	0.8889759927988052	kfold	0.0	1.0	unet			0.0002	0.8992 0.8874 0.8884 0.8809	False	ext	
35	v34	4	256	4	12	1000	20	False	efficientnetb4	1.0	bce_jaccard_loss	2020	39.0	0.2261834740638733	0.8870903849601746	kfold	0.0	1.0	unet			0.0002	0.8934 0.8828 0.8872 0.8850	False	ext	
36	v34	4	256	4	20	1000	20	False	efficientnetb2	1.0	bce_jaccard_loss	2020	75.75	0.2005683481693268	0.904469907283783	kfold	0.0	1.0	unet			0.0002	0.9074 0.9010 0.9016 0.9079	True	ext	
37	v35	4	256	4	20	1000	20	False	efficientnetb2	1.0	bce_jaccard_loss	2020	30.5	0.2389241233468056	0.885204091668129	group	0.0	1.0	unet			0.0002	0.9119 0.8626 0.8893 0.8771	True	ext	
38	v36	4	256	4	20	1000	20	False	efficientnetb2	1.0	bce_jaccard_loss	2020	35.5	0.1505882814526558	0.9285255521535872	group	0.0	1.0	unet		new data	0.0002	0.9297 0.9271 0.9260 0.9313	True		
39	v37	4	256	4	12	1000	20	False	efficientnetb4	1.0	bce_jaccard_loss	2020	46.0	0.16386160999536514	0.9172343164682388	group	0.0	1.0	unet		new data	0.0001	0.9256 0.9137 0.9126 0.9171	True	ext	
40	v37	4	256	4	12	1000	20	False	efficientnetb4	1.0	bce_jaccard_loss	2020	46.0	0.16386160999536514	0.9172343164682388	group	0.0	1.0	unet		new data	0.0001	0.9256 0.9137 0.9126 0.9171	True	ext	
41	v38	6	256	4	20	1000	20	False	efficientnetb2	1.0	bce_jaccard_loss	2020	66.0	0.13277673969666162	0.9370497465133668	kfold	0.0	1.0	unet		new data	0.0002	0.9400 0.9315 0.9381 0.9387 0.9356 0.9384	True	ext	
42	v39	5	256	4	24	1000	20	False	efficientnetb0	1.0	bce_jaccard_loss	2020	64.8	0.13401939272880553	0.9366795778274536	kfold	0.0	1.0	unet		new data	0.0005	0.9361 0.9342 0.9381 0.9367 0.9383	True	ext	
43	v40	5	256	4	22	1000	20	False	efficientnetb1	0.5	bce_jaccard_loss	2020	58.6	0.10662246346473694	0.7492581009864807	kfold	0.0	1.0	unet		new data	0.0005	0.0000 0.9372 0.9365 0.9381 0.9345	True	ext	
44	v41	6	256	4	20	1000	20	False	efficientnetb2	1.0	bce_jaccard_loss	2020	37.16666666666666	0.15732183307409284	0.9236569305260977	group	0.0	1.0	unet		new data	0.0002	0.9318 0.8845 0.9203 0.9324 0.9308 0.9421	True	ext	
45	v42	6	256	4	20	1000	20	False	efficientnetb2	1.0	bce_jaccard_loss	2020	41.333333333333336	0.1515563279390335	0.9270591338475546	kfold	0.0	1.0	unet		new data	0.0002	0.9326 0.9241 0.9292 0.9197 0.9317 0.9250	False	ext	
46	v43	5	256	4	24	1000	20	False	efficientnetb0	1.0	bce_jaccard_loss	2020	57.4	0.13458093404769894	0.9360315799713136	kfold	0.0	1.0	unet	v41	new data	0.0005	0.9369 0.9375 0.9393 0.9323 0.9342	False	ext	
47	v44	5	256	4	16	1000	20	False	efficientnetb0	1.0	bce_jaccard_loss	2020	56.6	0.13829827904701233	0.9326382398605346	kfold	0.0	1.0	fpn	v41	new data	0.0005	0.9311 0.9360 0.9365 0.9252 0.9344	False	ext	
48	v45	5	256	4	24	1000	20	False	efficientnetb0	1.0	bce_jaccard_loss	2020	54.4	0.13666586577892306	0.9350147008895874	kfold	0.0	1.0	link	v41	new data	0.0005	0.9358 0.9370 0.9363 0.9347 0.9313	False	ext	
49	v46	5	256	4	24	1000	20	False	efficientnetb0	1.0	bce_jaccard_loss	2021	69.2	0.1400380998849869	0.9332768201828004	kfold	0.0	1.0	link	False	new data	0.0005	0.9363 0.9344 0.9352 0.9331 0.9275	True	ext	
50	v47	5	256	4	20	1000	20	False	efficientnetb1	1.0	bce_jaccard_loss	2022	68.8	0.13569647669792176	0.9349981665611268	kfold	0.0	1.0	link	False	new data	0.0005	0.9384 0.9353 0.9357 0.9331 0.9326	True	ext	
51	v49	5	256	4	24	1000	20	False	efficientnetb0	1.0	bce_jaccard_loss	2021	66.0	0.15092989206314086	0.9277158498764038	kfold	0.0	1.0	link	False	new data	0.0005	0.9307 0.9245 0.9287 0.9288 0.9259	False	ext	
